,filename,label
0,data\Stage1Rules\Belt St1-G0\100_0-7.bmp,5
1,data\Stage1Rules\Belt St1-G0\101_0-7.bmp,11
2,data\Stage1Rules\Belt St1-G0\102_0-7.bmp,5
3,data\Stage1Rules\Belt St1-G0\103_0-7.bmp,5
4,data\Stage1Rules\Belt St1-G0\104_0-7.bmp,5
5,data\Stage1Rules\Belt St1-G0\105_0-7.bmp,5
6,data\Stage1Rules\Belt St1-G0\106_0-7.bmp,5
7,data\Stage1Rules\Belt St1-G0\107_0-7.bmp,5
8,data\Stage1Rules\Belt St1-G0\108_0-7.bmp,5
9,data\Stage1Rules\Belt St1-G0\109_0-7.bmp,5
10,data\Stage1Rules\Belt St1-G0\110_0-7.bmp,5
11,data\Stage1Rules\Belt St1-G0\111_0-7.bmp,5
12,data\Stage1Rules\Belt St1-G0\112_0-7.bmp,11
13,data\Stage1Rules\Belt St1-G0\113_0-7.bmp,5
14,data\Stage1Rules\Belt St1-G0\114_0-7.bmp,5
15,data\Stage1Rules\Belt St1-G0\115_0-7.bmp,5
16,data\Stage1Rules\Belt St1-G0\116_0-7.bmp,5
17,data\Stage1Rules\Belt St1-G0\117_0-7.bmp,5
18,data\Stage1Rules\Belt St1-G0\118_0-7.bmp,5
19,data\Stage1Rules\Belt St1-G0\119_0-7.bmp,11
20,data\Stage1Rules\Belt St1-G0\120_0-7.bmp,11
21,data\Stage1Rules\Belt St1-G0\121_0-7.bmp,11
22,data\Stage1Rules\Belt St1-G0\122_0-7.bmp,11
23,data\Stage1Rules\Belt St1-G0\123_0-7.bmp,0
24,data\Stage1Rules\Belt St1-G0\124_0-7.bmp,11
25,data\Stage1Rules\Belt St1-G0\125_0-7.bmp,11
26,data\Stage1Rules\Belt St1-G0\126_0-7.bmp,11
27,data\Stage1Rules\Belt St1-G0\127_0-7.bmp,11
28,data\Stage1Rules\Belt St1-G0\128_0-7.bmp,11
29,data\Stage1Rules\Belt St1-G0\129_0-7.bmp,10
30,data\Stage1Rules\Belt St1-G0\130_0-7.bmp,11
31,data\Stage1Rules\Belt St1-G0\131_0-7.bmp,11
32,data\Stage1Rules\Belt St1-G0\132_0-7.bmp,11
33,data\Stage1Rules\Belt St1-G0\133_0-7.bmp,5
34,data\Stage1Rules\Belt St1-G0\134_0-7.bmp,0
35,data\Stage1Rules\Belt St1-G0\135_0-7.bmp,11
36,data\Stage1Rules\Belt St1-G0\136_0-7.bmp,0
37,data\Stage1Rules\Belt St1-G0\137_0-7.bmp,11
38,data\Stage1Rules\Belt St1-G0\138_0-7.bmp,0
39,data\Stage1Rules\Belt St1-G0\139_0-7.bmp,11
40,data\Stage1Rules\Belt St1-G0\140_0-7.bmp,0
41,data\Stage1Rules\Belt St1-G0\141_0-7.bmp,0
42,data\Stage1Rules\Belt St1-G0\142_0-7.bmp,11
43,data\Stage1Rules\Belt St1-G0\143_0-7.bmp,0
44,data\Stage1Rules\Belt St1-G0\144_0-7.bmp,11
45,data\Stage1Rules\Belt St1-G0\145_0-7.bmp,11
46,data\Stage1Rules\Belt St1-G0\146_0-7.bmp,0
47,data\Stage1Rules\Belt St1-G0\147_0-7.bmp,0
48,data\Stage1Rules\Belt St1-G0\148_0-7.bmp,11
49,data\Stage1Rules\Belt St1-G0\149_0-7.bmp,0
50,data\Stage1Rules\Belt St1-G0\150_0-7.bmp,11
51,data\Stage1Rules\Belt St1-G0\151_0-7.bmp,0
52,data\Stage1Rules\Belt St1-G0\152_0-7.bmp,11
53,data\Stage1Rules\Belt St1-G0\153_0-7.bmp,0
54,data\Stage1Rules\Belt St1-G0\154_0-7.bmp,0
55,data\Stage1Rules\Belt St1-G0\155_0-7.bmp,0
56,data\Stage1Rules\Belt St1-G0\156_0-7.bmp,0
57,data\Stage1Rules\Belt St1-G0\157_0-7.bmp,0
58,data\Stage1Rules\Belt St1-G0\158_0-7.bmp,0
59,data\Stage1Rules\Belt St1-G0\159_0-7.bmp,0
60,data\Stage1Rules\Belt St1-G0\160_0-7.bmp,0
61,data\Stage1Rules\Belt St1-G0\161_0-7.bmp,0
62,data\Stage1Rules\Belt St1-G0\162_0-7.bmp,0
63,data\Stage1Rules\Belt St1-G0\163_0-7.bmp,11
64,data\Stage1Rules\Belt St1-G0\164_0-7.bmp,11
65,data\Stage1Rules\Belt St1-G0\165_0-7.bmp,0
66,data\Stage1Rules\Belt St1-G0\166_0-7.bmp,0
67,data\Stage1Rules\Belt St1-G0\167_0-7.bmp,11
68,data\Stage1Rules\Belt St1-G0\168_0-7.bmp,11
69,data\Stage1Rules\Belt St1-G0\169_0-7.bmp,11
70,data\Stage1Rules\Belt St1-G0\170_0-7.bmp,11
71,data\Stage1Rules\Belt St1-G0\171_0-7.bmp,11
72,data\Stage1Rules\Belt St1-G0\172_0-7.bmp,11
73,data\Stage1Rules\Belt St1-G0\173_0-7.bmp,0
74,data\Stage1Rules\Belt St1-G0\174_0-7.bmp,0
75,data\Stage1Rules\Belt St1-G0\175_0-7.bmp,0
76,data\Stage1Rules\Belt St1-G0\176_0-7.bmp,0
77,data\Stage1Rules\Belt St1-G0\177_0-7.bmp,0
78,data\Stage1Rules\Belt St1-G0\178_0-7.bmp,0
79,data\Stage1Rules\Belt St1-G0\179_0-7.bmp,0
80,data\Stage1Rules\Belt St1-G0\180_0-7.bmp,11
81,data\Stage1Rules\Belt St1-G0\181_0-7.bmp,0
82,data\Stage1Rules\Belt St1-G0\182_0-7.bmp,11
83,data\Stage1Rules\Belt St1-G0\183_0-7.bmp,0
84,data\Stage1Rules\Belt St1-G0\184_0-7.bmp,16
85,data\Stage1Rules\Belt St1-G0\185_0-7.bmp,16
86,data\Stage1Rules\Belt St1-G0\186_0-7.bmp,16
87,data\Stage1Rules\Belt St1-G0\187_0-7.bmp,16
88,data\Stage1Rules\Belt St1-G0\188_0-7.bmp,0
89,data\Stage1Rules\Belt St1-G0\189_0-7.bmp,0
90,data\Stage1Rules\Belt St1-G0\190_0-7.bmp,0
91,data\Stage1Rules\Belt St1-G0\191_0-7.bmp,11
92,data\Stage1Rules\Belt St1-G0\192_0-7.bmp,11
93,data\Stage1Rules\Belt St1-G0\193_0-7.bmp,11
94,data\Stage1Rules\Belt St1-G0\194_0-7.bmp,11
95,data\Stage1Rules\Belt St1-G0\195_0-7.bmp,11
96,data\Stage1Rules\Belt St1-G0\196_0-7.bmp,11
97,data\Stage1Rules\Belt St1-G0\197_0-7.bmp,0
98,data\Stage1Rules\Belt St1-G0\198_0-7.bmp,0
99,data\Stage1Rules\Belt St1-G0\199_0-7.bmp,0
100,data\Stage1Rules\Belt St1-G0\200_0-7.bmp,11
101,data\Stage1Rules\Belt St1-G0\201_0-7.bmp,0
102,data\Stage1Rules\Belt St1-G0\202_0-7.bmp,11
103,data\Stage1Rules\Belt St1-G0\203_0-7.bmp,0
104,data\Stage1Rules\Belt St1-G0\204_0-7.bmp,0
105,data\Stage1Rules\Belt St1-G0\205_0-7.bmp,11
106,data\Stage1Rules\Belt St1-G0\206_0-7.bmp,0
107,data\Stage1Rules\Belt St1-G0\207_0-7.bmp,11
108,data\Stage1Rules\Belt St1-G0\208_0-7.bmp,11
109,data\Stage1Rules\Belt St1-G0\209_0-7.bmp,0
110,data\Stage1Rules\Belt St1-G0\210_0-7.bmp,0
111,data\Stage1Rules\Belt St1-G0\211_0-7.bmp,11
112,data\Stage1Rules\Belt St1-G0\212_0-7.bmp,0
113,data\Stage1Rules\Belt St1-G0\213_0-7.bmp,11
114,data\Stage1Rules\Belt St1-G0\214_0-7.bmp,0
115,data\Stage1Rules\Belt St1-G0\215_0-7.bmp,11
116,data\Stage1Rules\Belt St1-G0\216_0-7.bmp,0
117,data\Stage1Rules\Belt St1-G0\217_0-7.bmp,0
118,data\Stage1Rules\Belt St1-G0\218_0-7.bmp,0
119,data\Stage1Rules\Belt St1-G0\219_0-7.bmp,0
120,data\Stage1Rules\Belt St1-G0\220_0-7.bmp,0
121,data\Stage1Rules\Belt St1-G0\221_0-7.bmp,0
122,data\Stage1Rules\Belt St1-G0\222_0-7.bmp,0
123,data\Stage1Rules\Belt St1-G0\223_0-7.bmp,0
124,data\Stage1Rules\Belt St1-G0\224_0-7.bmp,0
125,data\Stage1Rules\Belt St1-G0\225_0-7.bmp,0
126,data\Stage1Rules\Belt St1-G0\226_0-7.bmp,11
127,data\Stage1Rules\Belt St1-G0\227_0-7.bmp,11
128,data\Stage1Rules\Belt St1-G0\228_0-7.bmp,0
129,data\Stage1Rules\Belt St1-G0\229_0-7.bmp,0
130,data\Stage1Rules\Belt St1-G0\22_0-7.bmp,11
131,data\Stage1Rules\Belt St1-G0\230_0-7.bmp,11
132,data\Stage1Rules\Belt St1-G0\231_0-7.bmp,11
133,data\Stage1Rules\Belt St1-G0\232_0-7.bmp,11
134,data\Stage1Rules\Belt St1-G0\233_0-7.bmp,11
135,data\Stage1Rules\Belt St1-G0\234_0-7.bmp,11
136,data\Stage1Rules\Belt St1-G0\235_0-7.bmp,11
137,data\Stage1Rules\Belt St1-G0\236_0-7.bmp,0
138,data\Stage1Rules\Belt St1-G0\237_0-7.bmp,0
139,data\Stage1Rules\Belt St1-G0\238_0-7.bmp,0
140,data\Stage1Rules\Belt St1-G0\239_0-7.bmp,0
141,data\Stage1Rules\Belt St1-G0\23_0-7.bmp,11
142,data\Stage1Rules\Belt St1-G0\240_0-7.bmp,0
143,data\Stage1Rules\Belt St1-G0\241_0-7.bmp,0
144,data\Stage1Rules\Belt St1-G0\242_0-7.bmp,0
145,data\Stage1Rules\Belt St1-G0\243_0-7.bmp,11
146,data\Stage1Rules\Belt St1-G0\244_0-7.bmp,0
147,data\Stage1Rules\Belt St1-G0\245_0-7.bmp,11
148,data\Stage1Rules\Belt St1-G0\246_0-7.bmp,0
149,data\Stage1Rules\Belt St1-G0\247_0-7.bmp,16
150,data\Stage1Rules\Belt St1-G0\248_0-7.bmp,16
151,data\Stage1Rules\Belt St1-G0\249_0-7.bmp,16
152,data\Stage1Rules\Belt St1-G0\24_0-7.bmp,11
153,data\Stage1Rules\Belt St1-G0\250_0-7.bmp,16
154,data\Stage1Rules\Belt St1-G0\251_0-7.bmp,0
155,data\Stage1Rules\Belt St1-G0\252_0-7.bmp,0
156,data\Stage1Rules\Belt St1-G0\253_0-7.bmp,0
157,data\Stage1Rules\Belt St1-G0\254_0-7.bmp,11
158,data\Stage1Rules\Belt St1-G0\255_0-7.bmp,11
159,data\Stage1Rules\Belt St1-G0\256_0-7.bmp,11
160,data\Stage1Rules\Belt St1-G0\257_0-7.bmp,11
161,data\Stage1Rules\Belt St1-G0\258_0-7.bmp,11
162,data\Stage1Rules\Belt St1-G0\259_0-7.bmp,11
163,data\Stage1Rules\Belt St1-G0\25_0-7.bmp,12
164,data\Stage1Rules\Belt St1-G0\260_0-7.bmp,0
165,data\Stage1Rules\Belt St1-G0\261_0-7.bmp,0
166,data\Stage1Rules\Belt St1-G0\26_0-7.bmp,11
167,data\Stage1Rules\Belt St1-G0\27_0-7.bmp,11
168,data\Stage1Rules\Belt St1-G0\28_0-7.bmp,11
169,data\Stage1Rules\Belt St1-G0\29_0-7.bmp,12
170,data\Stage1Rules\Belt St1-G0\30_0-7.bmp,11
171,data\Stage1Rules\Belt St1-G0\31_0-7.bmp,11
172,data\Stage1Rules\Belt St1-G0\32_0-7.bmp,12
173,data\Stage1Rules\Belt St1-G0\33_0-7.bmp,11
174,data\Stage1Rules\Belt St1-G0\34_0-7.bmp,11
175,data\Stage1Rules\Belt St1-G0\35_0-7.bmp,4
176,data\Stage1Rules\Belt St1-G0\36_0-7.bmp,11
177,data\Stage1Rules\Belt St1-G0\37_0-7.bmp,11
178,data\Stage1Rules\Belt St1-G0\38_0-7.bmp,4
179,data\Stage1Rules\Belt St1-G0\39_0-7.bmp,11
180,data\Stage1Rules\Belt St1-G0\40_0-7.bmp,11
181,data\Stage1Rules\Belt St1-G0\41_0-7.bmp,11
182,data\Stage1Rules\Belt St1-G0\42_0-7.bmp,0
183,data\Stage1Rules\Belt St1-G0\43_0-7.bmp,5
184,data\Stage1Rules\Belt St1-G0\44_0-7.bmp,11
185,data\Stage1Rules\Belt St1-G0\45_0-7.bmp,11
186,data\Stage1Rules\Belt St1-G0\46_0-7.bmp,11
187,data\Stage1Rules\Belt St1-G0\47_0-7.bmp,11
188,data\Stage1Rules\Belt St1-G0\48_0-7.bmp,11
189,data\Stage1Rules\Belt St1-G0\49_0-7.bmp,11
190,data\Stage1Rules\Belt St1-G0\50_0-7.bmp,11
191,data\Stage1Rules\Belt St1-G0\51_0-7.bmp,11
192,data\Stage1Rules\Belt St1-G0\52_0-7.bmp,11
193,data\Stage1Rules\Belt St1-G0\53_0-7.bmp,11
194,data\Stage1Rules\Belt St1-G0\54_0-7.bmp,10
195,data\Stage1Rules\Belt St1-G0\55_0-7.bmp,10
196,data\Stage1Rules\Belt St1-G0\56_0-7.bmp,10
197,data\Stage1Rules\Belt St1-G0\57_0-7.bmp,11
198,data\Stage1Rules\Belt St1-G0\58_0-7.bmp,11
199,data\Stage1Rules\Belt St1-G0\59_0-7.bmp,11
200,data\Stage1Rules\Belt St1-G0\60_0-7.bmp,11
201,data\Stage1Rules\Belt St1-G0\61_0-7.bmp,11
202,data\Stage1Rules\Belt St1-G0\62_0-7.bmp,11
203,data\Stage1Rules\Belt St1-G0\63_0-7.bmp,11
204,data\Stage1Rules\Belt St1-G0\64_0-7.bmp,11
205,data\Stage1Rules\Belt St1-G0\65_0-7.bmp,11
206,data\Stage1Rules\Belt St1-G0\66_0-7.bmp,5
207,data\Stage1Rules\Belt St1-G0\67_0-7.bmp,0
208,data\Stage1Rules\Belt St1-G0\68_0-7.bmp,5
209,data\Stage1Rules\Belt St1-G0\69_0-7.bmp,0
210,data\Stage1Rules\Belt St1-G0\70_0-7.bmp,0
211,data\Stage1Rules\Belt St1-G0\71_0-7.bmp,11
212,data\Stage1Rules\Belt St1-G0\72_0-7.bmp,11
213,data\Stage1Rules\Belt St1-G0\73_0-7.bmp,11
214,data\Stage1Rules\Belt St1-G0\74_0-7.bmp,11
215,data\Stage1Rules\Belt St1-G0\75_0-7.bmp,11
216,data\Stage1Rules\Belt St1-G0\76_0-7.bmp,11
217,data\Stage1Rules\Belt St1-G0\77_0-7.bmp,11
218,data\Stage1Rules\Belt St1-G0\78_0-7.bmp,11
219,data\Stage1Rules\Belt St1-G0\79_0-7.bmp,11
220,data\Stage1Rules\Belt St1-G0\80_0-7.bmp,11
221,data\Stage1Rules\Belt St1-G0\81_0-7.bmp,5
222,data\Stage1Rules\Belt St1-G0\82_0-7.bmp,5
223,data\Stage1Rules\Belt St1-G0\83_0-7.bmp,5
224,data\Stage1Rules\Belt St1-G0\84_0-7.bmp,11
225,data\Stage1Rules\Belt St1-G0\85_0-7.bmp,11
226,data\Stage1Rules\Belt St1-G0\86_0-7.bmp,11
227,data\Stage1Rules\Belt St1-G0\87_0-7.bmp,0
228,data\Stage1Rules\Belt St1-G0\88_0-7.bmp,10
229,data\Stage1Rules\Belt St1-G0\89_0-7.bmp,5
230,data\Stage1Rules\Belt St1-G0\90_0-7.bmp,11
231,data\Stage1Rules\Belt St1-G0\91_0-7.bmp,11
232,data\Stage1Rules\Belt St1-G0\92_0-7.bmp,11
233,data\Stage1Rules\Belt St1-G0\93_0-7.bmp,5
234,data\Stage1Rules\Belt St1-G0\94_0-7.bmp,5
235,data\Stage1Rules\Belt St1-G0\95_0-7.bmp,5
236,data\Stage1Rules\Belt St1-G0\96_0-7.bmp,5
237,data\Stage1Rules\Belt St1-G0\97_0-7.bmp,5
238,data\Stage1Rules\Belt St1-G0\98_0-7.bmp,5
239,data\Stage1Rules\Belt St1-G0\99_0-7.bmp,5
240,data\Stage1Rules\Belt St2-G0\262_1-8.bmp,0
